"No.","Time","Source","Destination","Protocol","Length","Info"
"31854","98.493805935","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=325, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"32365","100.036197433","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=45, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"32388","100.059390045","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=46, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"32873","102.056770295","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=3612, FN=0, Flags=........, SSID=Broadcast"
"33301","103.968837496","SamsungE_de:81:7b","Broadcast","802.11","277","Probe Request, SN=3987, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"33341","104.013601677","SamsungE_de:81:7b","Broadcast","802.11","277","Probe Request, SN=3989, FN=0, Flags=........, SSID=NUST"
"33343","104.017550697","MurataMa_52:65:d0","Broadcast","802.11","290","Probe Request, SN=2675, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"33356","104.056488625","SamsungE_de:81:7b","Broadcast","802.11","277","Probe Request, SN=3991, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"33361","104.066124356","MurataMa_52:65:d0","Broadcast","802.11","290","Probe Request, SN=2676, FN=0, Flags=........, SSID=Broadcast"
"33363","104.069986133","SamsungE_de:81:7b","Broadcast","802.11","277","Probe Request, SN=3992, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"33374","104.090686308","SamsungE_de:81:7b","Broadcast","802.11","277","Probe Request, SN=3993, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"33403","104.111996348","SamsungE_de:81:7b","Broadcast","802.11","277","Probe Request, SN=3994, FN=0, Flags=........, SSID=NUST"
"33778","106.097998096","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=69, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"33786","106.116549109","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=70, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"34703","115.009851351","Htc_7f:d1:60","Broadcast","802.11","274","Probe Request, SN=3798, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"34755","115.112619129","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=109, FN=0, Flags=........, SSID=NUST"
"34846","117.369792979","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=774, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"34858","117.381237391","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=775, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"35170","117.978405480","SamsungE_de:81:7b","Broadcast","802.11","277","Probe Request, SN=4035, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"35236","118.976785214","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=790, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"35237","118.990436680","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=791, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"35247","119.266019758","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=794, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"35253","119.285395849","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=795, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"35445","119.747143267","Htc_7f:d1:60","Broadcast","802.11","278","Probe Request, SN=3886, FN=0, Flags=........, SSID=NUST"
"35477","119.812119415","Htc_7f:d1:60","Broadcast","802.11","278","Probe Request, SN=3887, FN=0, Flags=........, SSID=NUST"
"35710","120.829559080","HuaweiTe_ff:dd:67","Broadcast","802.11","197","Probe Request, SN=708, FN=0, Flags=....R..., SSID=NUST[Malformed Packet]"
"35731","120.849928786","HuaweiTe_ff:dd:67","Broadcast","802.11","197","Probe Request, SN=709, FN=0, Flags=....R..., SSID=NUST"
"36447","125.239628481","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=210, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"37025","142.077289423","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=3822, FN=0, Flags=........, SSID=Broadcast"
"37027","142.081352596","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=3823, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"37031","142.095238573","Htc_7f:d1:60","Broadcast","802.11","278","Probe Request, SN=4070, FN=0, Flags=........, SSID=NUST"
"37094","142.299129910","MurataMa_3d:6e:69","Broadcast","802.11","273","Probe Request, SN=521, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"37110","142.335844549","MurataMa_3d:6e:69","Broadcast","802.11","273","Probe Request, SN=522, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"37127","142.426795870","MurataMa_3d:6e:69","Broadcast","802.11","273","Probe Request, SN=524, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"37390","143.026131583","ChiconyE_36:91:f3","Broadcast","802.11","194","Probe Request, SN=443, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"37399","143.049977243","ChiconyE_36:91:f3","Broadcast","802.11","194","Probe Request, SN=444, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
